t,value
1,0.09624379779021675
2,0.09156046115869572
3,0.08684492101741108
4,0.08256878617534416
5,0.07848635231358614
6,0.07387075842670984
7,0.07080804858789107
8,0.06785222701857024
9,0.06590720085858949
10,0.061770744749354775
11,0.058906778770521924
12,0.056434626742915044
13,0.05393831608804131
14,0.05203753991539473
15,0.04713696706304067
16,0.046580360625449416
17,0.041701840564579165
18,0.04238789824767194
19,0.03847123308964469
20,0.036645080315249774
21,0.037330989335664956
22,0.03452440744353132
23,0.03358060389829859
24,0.030877094065574064
25,0.02975038243133516
26,0.026601197017109664
27,0.025040683508111297
28,0.025013027872433636
29,0.024905148855127287
30,0.022748324793186624
31,0.020761907252855497
32,0.020684721697811718
33,0.01926240065306328
34,0.019607774292432656
35,0.019657875389383912
36,0.01768630477305144
37,0.015750869916917612
38,0.01693395964634462
39,0.014957561132535553
40,0.014687373973105511
41,0.013356242638828574
42,0.012429866221979884
43,0.01295418063930554
44,0.010278581055804087
45,0.010113351589823478
46,0.011815466868618249
47,0.008803688651787205
48,0.009691156317539215
49,0.010559027867238557
50,0.008743806919870702
51,0.008418610267071204
52,0.007371128175204198
53,0.006981771410480918
54,0.009496575250196718
55,0.0072267212451568395
56,0.00883762364764707
57,0.00849018787815128
58,0.007159186134650877
59,0.005982807099400383
60,0.005490168309364546
61,0.004719418455321242
62,0.004106846673600999
63,0.005299466546352425
64,0.00621831175870974
65,0.005295648265075254
66,0.003870474633218195
67,0.003047157116999739
68,0.006117337625127006
69,0.005570353954082908
70,0.003272539106444359
