t,value
1,0.11472665967092477
2,0.10877782037823976
3,0.10287493990449452
4,0.09669128044527259
5,0.09170010571409203
6,0.08732104465946544
7,0.08142303729412897
8,0.0780092453895117
9,0.07373118555748957
10,0.0707397834479668
11,0.06599957840087607
12,0.061992194692017784
13,0.058616306533740954
14,0.05552581998879947
15,0.05343730684736654
16,0.04993839124737217
17,0.046795462932995045
18,0.04434609915632844
19,0.043183748780487315
20,0.041299850425714685
21,0.03754562503430095
22,0.03570378964534682
23,0.03487016925213272
24,0.03282059628121688
25,0.03043249741987917
26,0.028946425898802305
27,0.028772537965629116
28,0.026468391350970094
29,0.025818221762106203
30,0.02438325374360498
31,0.02266844878888808
32,0.0203027953267395
33,0.01964005849209842
34,0.019026240511394354
35,0.018128949947106995
36,0.01666371364931
37,0.016265725495911366
38,0.014817962277999626
39,0.015607265947316618
40,0.014556358210518032
41,0.013629203395268649
42,0.011947738971884293
43,0.012277578744594817
44,0.010722472034944364
45,0.010126562690195247
46,0.010540339013028553
47,0.008851321672547076
48,0.009195512185108624
49,0.008182637955116562
50,0.007968478751250885
51,0.007076915440727
52,0.007840353338960469
53,0.008302894161531018
54,0.006351685058397044
55,0.00759253004364231
56,0.0073118340072552655
57,0.005189817108408941
58,0.006116902445682458
59,0.00468124323461389
60,0.004962204633467569
