t,value
1,0.05616579721268469
2,0.053043275305340226
3,0.05025353143402808
4,0.04697217912935749
5,0.04342166599908213
6,0.041674328057290363
7,0.03897537768003367
8,0.03587670488981625
9,0.0342145081514382
10,0.03225667658293976
11,0.028982606996837603
12,0.028406641478153832
13,0.02553256458798879
14,0.02423317020744776
15,0.02252591274090195
16,0.022377714001652702
17,0.019451783435661743
18,0.019273078772554374
19,0.01858745141762437
20,0.016598016562638297
21,0.015802328506808336
22,0.014575519864749037
23,0.013319309174437716
24,0.01299581414772618
25,0.012881019721925019
26,0.01165446186351407
27,0.010716812512144137
28,0.009905157100355002
29,0.010314773161593342
30,0.009537502980619374
31,0.007636136265471614
32,0.008762047640367358
33,0.007755060925851043
34,0.0069883627664343445
35,0.007700808790856881
36,0.006351208934483581
37,0.006905487066535196
38,0.006080711129810398
39,0.005369421636339385
40,0.005401326417249496
41,0.005310260282577204
42,0.0037687346099107314
43,0.004450581011608113
44,0.0033606902544951805
45,0.004351052938698585
46,0.00404519230555132
47,0.0030453877144204096
48,0.003082847835233932
49,0.0038736250170710723
50,0.0038246846181485324
51,0.0032011022064463487
52,0.0031121616421388295
53,0.0024631260619181992
54,0.0017808750265161375
55,0.0015721906120303927
56,0.002589311519514032
57,0.0027091430470129853
58,0.002919528906102997
59,0.002070531287173336
60,0.0013504492387349841
