frequency,time_window,power
0.0,1,3.077683537175502
3.90625,1,0.029376509138648775
7.8125,1,0.059073191018825924
11.71875,1,0.08942052014216405
15.625,1,0.12077025769283634
19.53125,1,0.15350788099600698
23.4375,1,0.18806738921038335
27.34375,1,0.22494971075728626
31.25,1,0.2647464125483544
35.15625,1,0.30817116596995203
39.0625,1,0.3561026326638407
42.96875,1,0.4096443997700215
46.875,1,0.47021087332494066
50.78125,1,0.5396536686530992
54.6875,1,0.6204530423947093
58.59375,1,0.7160174185411767
62.5,1,0.8311699253709499
66.40625,1,0.9729742628656982
70.3125,1,1.1522125527849996
74.21875,1,1.3862067978947235
78.125,1,1.704663624909473
82.03125,1,2.163143182076319
85.9375,1,2.8789772661819737
89.84375,1,4.15007746132343
93.75,1,7.019278195614835
97.65625,1,19.48212582260294
101.5625,1,30.4221989309418
105.46875,1,9.052494693569166
109.375,1,5.503127614719319
113.28125,1,4.051766257337324
117.1875,1,3.269304650625384
121.09375,1,2.785435718723492
125.0,1,2.461510379276068
128.90625,1,2.2340643305171795
132.8125,1,2.070127428230108
136.71875,1,1.9510794927929942
140.625,1,1.865847146823144
144.53125,1,1.8077181470982995
148.4375,1,1.772749066219188
152.34375,1,1.7589615389435767
156.25,1,1.7659877099413441
160.15625,1,1.7950340560945037
164.0625,1,1.8491564717692925
167.96875,1,1.9339611929302378
171.875,1,2.059048279986455
175.78125,1,2.2409696400537253
179.6875,1,2.509692274411887
183.59375,1,2.9243714893565738
187.5,1,3.6187681396762725
191.40625,1,4.970601695396077
195.3125,1,8.617760970589291
199.21875,1,48.961238066432855
203.125,1,11.604016001971917
207.03125,1,4.894445507191742
210.9375,1,2.9889256035516683
214.84375,1,2.0939588860638554
218.75,1,1.57738029773851
222.65625,1,1.2430595636846398
226.5625,1,1.0102796893210741
230.46875,1,0.8397485833029023
234.375,1,0.710058148866127
238.28125,1,0.6085567872965301
242.1875,1,0.5272931807259564
246.09375,1,0.4610228916390758
250.0,1,0.4061496202912582
253.90625,1,0.36012697686582323
257.8125,1,0.32110292642684146
261.71875,1,0.28769937002592144
265.625,1,0.25887053739268157
269.53125,1,0.23380918415123814
273.4375,1,0.21188278333041194
