t,value
1,0.1948601752763005
2,0.18667877021506918
3,0.17823401061449964
4,0.17191812919575203
5,0.16454205360098606
6,0.15744072868593773
7,0.15127730741712858
8,0.14545249877080302
9,0.14208507970359335
10,0.13643435249072391
11,0.13029513332713977
12,0.12500627038065723
13,0.12051675081845807
14,0.11573414627898938
15,0.11100485590113035
16,0.10651198211180031
17,0.10351581032211937
18,0.09786052701860964
19,0.09395922835059486
20,0.09076877248238413
21,0.08764453192360896
22,0.08387399941294003
23,0.08041574028257094
24,0.07882062724452046
25,0.07454419109928036
26,0.07101049990113062
27,0.06960365311635218
28,0.0666424886926296
29,0.06275797715518323
30,0.061068884597461785
31,0.0601165755536725
32,0.05721767838403721
33,0.05383165476911282
34,0.05252336658396087
35,0.05164029627535917
36,0.049119663229455005
37,0.04619814991474304
38,0.044138125072116105
39,0.04288501134594858
40,0.042675116054691306
41,0.04150800787744506
42,0.03894081748486032
43,0.03763226730401067
44,0.03525014942228475
45,0.035186725852592554
46,0.03249617911409671
47,0.030804710741524667
48,0.0312022354762853
49,0.029155284417957252
50,0.03000864136129751
51,0.028926268518818726
52,0.02647067478098343
53,0.026172751876574123
54,0.023213489925177612
55,0.022824196470098458
56,0.022139038333551235
57,0.021707138140017363
58,0.020137300832465364
59,0.0191603192002771
60,0.01858772533468756
61,0.019262128274263192
62,0.018769481312330527
63,0.016343050183815353
64,0.016666669780188628
65,0.016765017909698334
66,0.016035583344842595
67,0.016662859312974315
68,0.014060857454481707
69,0.012991297125689824
70,0.012795760252184344
71,0.012109392812620311
72,0.01179437658860803
73,0.011790655531377236
74,0.01316407027023413
75,0.012107454759651498
76,0.011913608129237228
77,0.010719589200068666
78,0.011636979852589515
79,0.011038393078855225
80,0.010068788355475334
81,0.008457936442686045
82,0.008763021310193223
83,0.008503189024066028
84,0.009433941650495093
85,0.009263330311122819
86,0.00879516353709746
87,0.008864007829054653
88,0.007449085428109483
89,0.007885927620344894
90,0.006580406946011334
91,0.005481837656724413
92,0.00527488161149279
93,0.00765065651237674
94,0.006824664709826933
95,0.005420611706945906
96,0.005025645709550266
97,0.00575863350315854
98,0.006333821204226616
99,0.0044811155722573855
100,0.00411527962445968
101,0.005158543860956302
102,0.0034106750219923144
103,0.0036091807392554854
104,0.005083249210535375
105,0.005572830412276847
106,0.0029590445803075356
107,0.003037032007464396
108,0.005532040948695161
109,0.0027169001543077783
110,0.004928229533773266
111,0.002764637174566788
112,0.002339419009204585
113,0.004134074668690748
114,0.003930686933370083
115,0.004197322811012131
116,0.004729786291095278
117,0.0047371183846686635
118,0.003295610001996686
119,0.0018930260479459325
120,0.0028939004721658425
