t,value
1,0.049007940934459586
2,0.04635815057607401
3,0.04343872235442065
4,0.04096409598751435
5,0.039703786880873435
6,0.03652327876284362
7,0.03535186070062549
8,0.03273420489614134
9,0.0319691857805565
10,0.030380562394476823
11,0.027140729474428676
12,0.02591903203642908
13,0.026523260113386328
14,0.023305714788019165
15,0.023408808268311012
16,0.020300065976377332
17,0.020233076725350668
18,0.019801041084594063
19,0.019546557778394806
20,0.020059916946707904
21,0.015165652695504041
22,0.01701119284401972
23,0.014849308835705798
24,0.01344099185881857
25,0.013741713282216161
26,0.011896725533064314
27,0.012922734366940003
28,0.012447570676232445
29,0.013696405047809236
30,0.011614751146321378
31,0.009392677551537172
32,0.009174109862461076
33,0.009028435715607954
34,0.007968920656026512
35,0.007252010770145008
36,0.01002601636746973
37,0.008549801806264743
38,0.006974711688513471
39,0.006637617455853898
40,0.005647829036725475
41,0.00733163205725753
42,0.004684930529693504
43,0.006619576228545932
44,0.005847082681829398
45,0.005534493928811534
46,0.004124163410896224
47,0.006546537640742442
48,0.004027936117646604
49,0.002751439049750685
50,0.004309770583461247
51,0.0043283385871248055
52,0.002239394431433269
53,0.003357450281928034
54,0.003627703114494964
55,0.00344392734745737
56,0.004449365871949084
57,0.003545132598394405
58,0.003807642953346381
59,0.0021681495442964615
60,0.0034391689810243375
