t,value
1,0.0484555406989793
2,0.046038247668830884
3,0.04185415205241337
4,0.04023922460025921
5,0.03822290109897981
6,0.03683913817870221
7,0.03582729291538656
8,0.033530006513943736
9,0.031138566834170853
10,0.031066482964163495
11,0.028077262375366258
12,0.025898127687668603
13,0.025693810542028538
14,0.023147193481386
15,0.022807737439891843
16,0.020451576371621774
17,0.021135339878216287
18,0.01819263759635427
19,0.018520625089702012
20,0.018283137913351476
21,0.014979236137291066
22,0.01418564160557793
23,0.015689108307378852
24,0.016146885190958096
25,0.01209166795448818
26,0.015277222888757474
27,0.011442054839945915
28,0.012637584779965481
29,0.013494779236148675
30,0.008629962903747223
31,0.010114739357630428
32,0.009576308335517661
33,0.008411519561911683
34,0.007364845064458399
35,0.007206729225604606
36,0.00931603647174981
37,0.007667146288997008
38,0.0072350720375157366
39,0.007370550911653411
40,0.006790756477488962
41,0.005226526197141325
42,0.00506140909945592
43,0.007093919417892856
44,0.004943168406286346
45,0.003717808587173677
46,0.006060703017444324
47,0.004165252480590233
48,0.002391359586651362
49,0.0038619798565733845
50,0.004970557876382266
51,0.0038795322438079155
52,0.003711612347107898
53,0.004121085820115403
54,0.002901672743718757
55,0.0028411800728980995
56,0.004289340327692695
57,0.002931106772809269
58,0.0028701518694017273
59,0.0017287105400154738
60,0.0027280759748644413
61,0.0020942581414490928
62,0.003419790439443943
63,0.003197464893980966
64,0.0018812681137457985
65,0.0023942296087882844
66,0.003670746472836568
67,0.0031176208502594694
68,0.0006029123254359906
69,0.0034206073374005593
70,0.0021107815527856926
71,0.0034440691707207614
72,0.002797009940655793
73,0.004220734834897953
74,0.0022100078098525075
75,0.0030465343433949436
76,0.0006000926689682027
77,0.0027948311404700386
78,0.001922971142258288
79,0.001299140264808501
80,0.003917702540773192
